src_node_id src_link_num src_pub_ip src_mesh_ip des_node_id des_link_num des_pub_ip des_mesh_ip
wg0 10.33.205.95 10.10.120.1/32 wg0 10.33.205.30 10.10.120.2/32
wg1 10.33.205.95 10.10.121.1/32 wg1 10.33.205.30 10.10.121.2/32
wg2 10.33.205.95 10.10.122.1/32 wg2 10.33.205.30 10.10.122.2/32
wg3 10.33.205.95 10.10.123.1/32 wg0 10.33.205.38 10.10.123.2/32
wg4 10.33.205.95 10.10.124.1/32 wg1 10.33.205.38 10.10.124.2/32
wg5 10.33.205.95 10.10.125.1/32 wg0 10.33.205.27 10.10.125.2/32
wg6 10.33.205.95 10.10.126.1/32 wg1 10.33.205.27 10.10.126.2/32
wg7 10.33.205.95 10.10.127.1/32 wg0 10.33.205.68 10.10.127.2/32
wg8 10.33.205.95 10.10.128.1/32 wg1 10.33.205.68 10.10.128.2/32
wg9 10.33.205.95 10.10.129.1/32 wg0 10.33.205.91 10.10.129.2/32
wg10 10.33.205.95 10.10.130.1/32 wg1 10.33.205.91 10.10.130.2/32
wg11 10.33.205.95 10.10.131.1/32 wg0 10.33.205.44 10.10.131.2/32
wg12 10.33.205.95 10.10.132.1/32 wg0 10.33.205.45 10.10.132.2/32
wg13 10.33.205.95 10.10.133.1/32 wg1 10.33.205.45 10.10.133.2/32
wg3 10.33.205.30 10.10.134.1/32 wg2 10.33.205.38 10.10.134.2/32
wg4 10.33.205.30 10.10.135.1/32 wg3 10.33.205.38 10.10.135.2/32
wg5 10.33.205.30 10.10.136.1/32 wg4 10.33.205.38 10.10.136.2/32
wg6 10.33.205.30 10.10.137.1/32 wg2 10.33.205.27 10.10.137.2/32
wg7 10.33.205.30 10.10.138.1/32 wg3 10.33.205.27 10.10.138.2/32
wg8 10.33.205.30 10.10.139.1/32 wg2 10.33.205.68 10.10.139.2/32
wg9 10.33.205.30 10.10.140.1/32 wg2 10.33.205.91 10.10.140.2/32
wg10 10.33.205.30 10.10.141.1/32 wg1 10.33.205.44 10.10.141.2/32
wg11 10.33.205.30 10.10.142.1/32 wg2 10.33.205.44 10.10.142.2/32
wg12 10.33.205.30 10.10.143.1/32 wg2 10.33.205.45 10.10.143.2/32
wg13 10.33.205.30 10.10.144.1/32 wg3 10.33.205.45 10.10.144.2/32
wg5 10.33.205.38 10.10.145.1/32 wg4 10.33.205.27 10.10.145.2/32
wg6 10.33.205.38 10.10.146.1/32 wg5 10.33.205.27 10.10.146.2/32
wg7 10.33.205.38 10.10.147.1/32 wg6 10.33.205.27 10.10.147.2/32
wg8 10.33.205.38 10.10.148.1/32 wg3 10.33.205.68 10.10.148.2/32
wg9 10.33.205.38 10.10.149.1/32 wg4 10.33.205.68 10.10.149.2/32
wg10 10.33.205.38 10.10.150.1/32 wg5 10.33.205.68 10.10.150.2/32
wg11 10.33.205.38 10.10.151.1/32 wg3 10.33.205.91 10.10.151.2/32
wg12 10.33.205.38 10.10.152.1/32 wg4 10.33.205.91 10.10.152.2/32
wg13 10.33.205.38 10.10.153.1/32 wg3 10.33.205.44 10.10.153.2/32
wg14 10.33.205.38 10.10.154.1/32 wg4 10.33.205.45 10.10.154.2/32
wg15 10.33.205.38 10.10.155.1/32 wg5 10.33.205.45 10.10.155.2/32
wg16 10.33.205.38 10.10.156.1/32 wg6 10.33.205.45 10.10.156.2/32
wg7 10.33.205.27 10.10.157.1/32 wg6 10.33.205.68 10.10.157.2/32
wg8 10.33.205.27 10.10.158.1/32 wg7 10.33.205.68 10.10.158.2/32
wg9 10.33.205.27 10.10.159.1/32 wg5 10.33.205.91 10.10.159.2/32
wg10 10.33.205.27 10.10.160.1/32 wg6 10.33.205.91 10.10.160.2/32
wg11 10.33.205.27 10.10.161.1/32 wg7 10.33.205.91 10.10.161.2/32
wg12 10.33.205.27 10.10.162.1/32 wg4 10.33.205.44 10.10.162.2/32
wg13 10.33.205.27 10.10.163.1/32 wg5 10.33.205.44 10.10.163.2/32
wg14 10.33.205.27 10.10.164.1/32 wg6 10.33.205.44 10.10.164.2/32
wg15 10.33.205.27 10.10.165.1/32 wg7 10.33.205.45 10.10.165.2/32
wg16 10.33.205.27 10.10.166.1/32 wg8 10.33.205.45 10.10.166.2/32
wg8 10.33.205.68 10.10.167.1/32 wg8 10.33.205.91 10.10.167.2/32
wg9 10.33.205.68 10.10.168.1/32 wg7 10.33.205.44 10.10.168.2/32
wg10 10.33.205.68 10.10.169.1/32 wg8 10.33.205.44 10.10.169.2/32
wg11 10.33.205.68 10.10.170.1/32 wg9 10.33.205.45 10.10.170.2/32
wg12 10.33.205.68 10.10.171.1/32 wg10 10.33.205.45 10.10.171.2/32
wg13 10.33.205.68 10.10.172.1/32 wg11 10.33.205.45 10.10.172.2/32
wg9 10.33.205.91 10.10.173.1/32 wg9 10.33.205.44 10.10.173.2/32
wg10 10.33.205.91 10.10.174.1/32 wg12 10.33.205.45 10.10.174.2/32
wg11 10.33.205.91 10.10.175.1/32 wg13 10.33.205.45 10.10.175.2/32
wg10 10.33.205.44 10.10.176.1/32 wg14 10.33.205.45 10.10.176.2/32
wg11 10.33.205.44 10.10.177.1/32 wg15 10.33.205.45 10.10.177.2/32
