0, 190 69, 198 113, 34 28 50, 38 46 34, 33 31, 30 27, 23
96 36,0, 199 143, 33 45, 41 58 34, 33 41, 28 27, 24 21 41
82 49, 198 29,0, 35 26 36, 51, 31 48 24, 28, 23 39
34 45 40, 32 40, 34 26 42,0, 98 62, 44 41, 125 20, 24 42 35
30 41 48, 33 31 20, 50, 97 105,0, 74 22, 54 48 73, 22 37 23
33 45, 32 35, 30 44 46, 43 52, 57 50,0, 35 49 22, 25 40
30 41, 28 20, 27, 124 52, 52 38 34, 33 37 44,0, 26 42 39
23, 24 36 29, 23 28, 24 38 39, 21 33 26, 19 32, 25 38 24,0
