0, 14 24, 12 27, 142 130 109, 109 22 68, 148 45, 164 181, 219
0 0,0, 7 26, 147 75, 149 159 145, 152 146, 168 157, 208 140 174
0 0, 0 0,0, 153 117 86, 93, 156 167 146, 172, 207 215
0 0 0, 0 0, 0 0 0,0, 49 61, 109 56, 35 42, 195 193 171
0 0 0, 0 0 0, 0, 0 0,0, 64 38, 81 49 91, 223 184 91
0 0, 0 0, 0 0 0, 0 0, 0 0,0, 142 122 55, 181 129
0 0, 0 0, 0, 0 0, 0 0 0, 0 0 0,0, 189 175 31
0, 0 0 0, 0 0, 0 0 0, 0 0 0, 0 0, 0 0 0,0
